"","Longitude","Latitude","hours","wkd_hr_value","population_1000","road_class_2_300","AirQualityStationType","Countrycode"
"150",4.326953,51.911389,18,35.0217692307692,10618.644531,0,"traffic","NL"
"151",4.326953,51.911389,19,36.7732692307692,10618.644531,0,"traffic","NL"
"152",4.326953,51.911389,20,38.8718461538462,10618.644531,0,"traffic","NL"
"153",4.326953,51.911389,21,38.7226538461538,10618.644531,0,"traffic","NL"
"154",4.326953,51.911389,22,37.0418076923077,10618.644531,0,"traffic","NL"
"155",4.326953,51.911389,23,34.9151153846154,10618.644531,0,"traffic","NL"
"156",4.326953,51.911389,8,44.3846718146718,10618.644531,0,"traffic","NL"
"157",4.326953,51.911389,9,40.8694615384615,10618.644531,0,"traffic","NL"
"158",4.326953,51.911389,10,37.8336186770428,10618.644531,0,"traffic","NL"
"159",4.326953,51.911389,2,29.1471042471043,10618.644531,0,"traffic","NL"
"160",4.326953,51.911389,11,34.47671875,10618.644531,0,"traffic","NL"
"161",4.326953,51.911389,12,32.26796875,10618.644531,0,"traffic","NL"
"162",4.326953,51.911389,13,32.0512015503876,10618.644531,0,"traffic","NL"
"163",4.326953,51.911389,14,33.0251351351351,10618.644531,0,"traffic","NL"
"164",4.326953,51.911389,15,32.7763461538461,10618.644531,0,"traffic","NL"
"165",4.326953,51.911389,7,47.9190733590734,10618.644531,0,"traffic","NL"
"166",4.326953,51.911389,4,33.6335135135135,10618.644531,0,"traffic","NL"
"167",4.326953,51.911389,5,41.8912355212356,10618.644531,0,"traffic","NL"
"168",4.326953,51.911389,6,47.1937451737452,10618.644531,0,"traffic","NL"
"169",4.35527754,51.86610794,0,27.0596153846154,7604.581543,144.447342,"industrial","NL"
"170",4.35527754,51.86610794,13,22.7733590733591,7604.581543,144.447342,"industrial","NL"
"171",4.35527754,51.86610794,1,26.28,7604.581543,144.447342,"industrial","NL"
"172",4.35527754,51.86610794,2,25.5496153846154,7604.581543,144.447342,"industrial","NL"
"173",4.35527754,51.86610794,12,23.0765625,7604.581543,144.447342,"industrial","NL"
"174",4.35527754,51.86610794,17,28.9203846153846,7604.581543,144.447342,"industrial","NL"
"175",4.35527754,51.86610794,3,24.5065384615385,7604.581543,144.447342,"industrial","NL"
"176",4.35527754,51.86610794,4,25.7265384615385,7604.581543,144.447342,"industrial","NL"
"177",4.35527754,51.86610794,5,30.1465384615385,7604.581543,144.447342,"industrial","NL"
"178",4.35527754,51.86610794,6,33.6376923076923,7604.581543,144.447342,"industrial","NL"
"179",4.35527754,51.86610794,7,34.7146153846154,7604.581543,144.447342,"industrial","NL"
"180",4.35527754,51.86610794,8,32.8715384615385,7604.581543,144.447342,"industrial","NL"
"181",4.35527754,51.86610794,9,29.8519379844961,7604.581543,144.447342,"industrial","NL"
"182",4.35527754,51.86610794,10,26.8291338582677,7604.581543,144.447342,"industrial","NL"
"183",4.35527754,51.86610794,11,24.7627450980392,7604.581543,144.447342,"industrial","NL"
"184",4.35527754,51.86610794,23,29.7703846153846,7604.581543,144.447342,"industrial","NL"
"185",4.35527754,51.86610794,15,24.9626923076923,7604.581543,144.447342,"industrial","NL"
"186",4.35527754,51.86610794,16,27.4557692307692,7604.581543,144.447342,"industrial","NL"
"187",4.35527754,51.86610794,21,32.795,7604.581543,144.447342,"industrial","NL"
"188",4.35527754,51.86610794,14,23.6494208494208,7604.581543,144.447342,"industrial","NL"
"189",4.35527754,51.86610794,19,31.5126923076923,7604.581543,144.447342,"industrial","NL"
"190",4.35527754,51.86610794,20,33.4580769230769,7604.581543,144.447342,"industrial","NL"
"191",4.35527754,51.86610794,18,29.9573076923077,7604.581543,144.447342,"industrial","NL"
"192",4.35527754,51.86610794,22,31.3619230769231,7604.581543,144.447342,"industrial","NL"
"193",4.360286,51.435,3,18.3296887159533,910.610413,0,"background","NL"
"194",4.360286,51.435,5,18.7769649805448,910.610413,0,"background","NL"
"195",4.360286,51.435,14,14.7262352941176,910.610413,0,"background","NL"
"196",4.360286,51.435,15,15.0515564202335,910.610413,0,"background","NL"
"197",4.360286,51.435,4,17.946420233463,910.610413,0,"background","NL"
"198",4.360286,51.435,17,17.2484496124031,910.610413,0,"background","NL"
"199",4.360286,51.435,18,18.6573255813953,910.610413,0,"background","NL"
"200",4.360286,51.435,6,20.7952918287938,910.610413,0,"background","NL"
"201",4.360286,51.435,16,15.9721011673152,910.610413,0,"background","NL"
"202",4.360286,51.435,21,20.8860465116279,910.610413,0,"background","NL"
"203",4.360286,51.435,7,22.7099221789883,910.610413,0,"background","NL"
"204",4.360286,51.435,8,23.2347859922179,910.610413,0,"background","NL"
"205",4.360286,51.435,9,22.0858365758755,910.610413,0,"background","NL"
"206",4.360286,51.435,10,20.2081322957198,910.610413,0,"background","NL"
"207",4.360286,51.435,11,18.4307421875,910.610413,0,"background","NL"
"208",4.360286,51.435,12,16.486968503937,910.610413,0,"background","NL"
"209",4.360286,51.435,13,15.4916470588235,910.610413,0,"background","NL"
"210",4.360286,51.435,0,18.8106278026906,910.610413,0,"background","NL"
"211",4.360286,51.435,1,18.5243171806167,910.610413,0,"background","NL"
"212",4.360286,51.435,2,17.9841245136187,910.610413,0,"background","NL"
"213",4.360286,51.435,19,19.6718217054264,910.610413,0,"background","NL"
"214",4.360286,51.435,20,20.3954263565892,910.610413,0,"background","NL"
"215",4.360286,51.435,22,20.521007751938,910.610413,0,"background","NL"
"216",4.360286,51.435,23,19.8150194552529,910.610413,0,"background","NL"
"217",4.360564,52.039722,4,26.2904280155642,12157.306641,0,"background","NL"
"218",4.360564,52.039722,5,31.3427626459144,12157.306641,0,"background","NL"
"219",4.360564,52.039722,3,24.0814785992218,12157.306641,0,"background","NL"
"220",4.360564,52.039722,16,25.0821153846154,12157.306641,0,"background","NL"
"221",4.360564,52.039722,17,27.8081923076923,12157.306641,0,"background","NL"
"222",4.360564,52.039722,2,23.8422957198443,12157.306641,0,"background","NL"
"223",4.360564,52.039722,15,22.9816602316602,12157.306641,0,"background","NL"
"224",4.360564,52.039722,7,37.6545525291829,12157.306641,0,"background","NL"
"225",4.360564,52.039722,8,35.7565891472868,12157.306641,0,"background","NL"
"226",4.360564,52.039722,18,29.8155,12157.306641,0,"background","NL"
"227",4.360564,52.039722,6,35.8149027237354,12157.306641,0,"background","NL"
"228",4.360564,52.039722,10,26.607519379845,12157.306641,0,"background","NL"
"229",4.360564,52.039722,11,23.0119379844961,12157.306641,0,"background","NL"
"230",4.360564,52.039722,12,21.1936575875486,12157.306641,0,"background","NL"
"231",4.360564,52.039722,13,20.2418677042802,12157.306641,0,"background","NL"
"232",4.360564,52.039722,14,21.2266666666667,12157.306641,0,"background","NL"
"233",4.360564,52.039722,1,24.5482692307692,12157.306641,0,"background","NL"
"234",4.360564,52.039722,0,27.0422842639594,12157.306641,0,"background","NL"
"235",4.360564,52.039722,20,32.6828461538461,12157.306641,0,"background","NL"
"236",4.360564,52.039722,21,32.9370769230769,12157.306641,0,"background","NL"
"237",4.360564,52.039722,22,31.9452692307692,12157.306641,0,"background","NL"
"238",4.360564,52.039722,19,31.7231538461539,12157.306641,0,"background","NL"
"239",4.360564,52.039722,23,30.1913846153846,12157.306641,0,"background","NL"
"240",4.360564,52.039722,9,31.103667953668,12157.306641,0,"background","NL"
"241",4.401389,51.921111,21,37.2235772357724,13083.150391,0,"background","NL"
"242",4.401389,51.921111,20,36.8802419354838,13083.150391,0,"background","NL"
"243",4.401389,51.921111,6,41.314859437751,13083.150391,0,"background","NL"
"244",4.401389,51.921111,7,43.8654618473896,13083.150391,0,"background","NL"
"245",4.401389,51.921111,0,32.2217213114754,13083.150391,0,"background","NL"
"246",4.401389,51.921111,1,30.2745901639344,13083.150391,0,"background","NL"
"247",4.401389,51.921111,2,28.6444897959184,13083.150391,0,"background","NL"
"248",4.401389,51.921111,3,29.3130612244898,13083.150391,0,"background","NL"
"249",4.401389,51.921111,4,30.9024193548387,13083.150391,0,"background","NL"
"250",4.401389,51.921111,5,35.8831325301205,13083.150391,0,"background","NL"
"251",4.401389,51.921111,18,31.9645161290323,13083.150391,0,"background","NL"
"252",4.401389,51.921111,19,34.3485829959514,13083.150391,0,"background","NL"
"253",4.401389,51.921111,11,29.7840163934426,13083.150391,0,"background","NL"
"254",4.401389,51.921111,8,41.2157894736842,13083.150391,0,"background","NL"
"255",4.401389,51.921111,9,37.0754098360656,13083.150391,0,"background","NL"
"256",4.401389,51.921111,10,33.4616666666667,13083.150391,0,"background","NL"
"257",4.401389,51.921111,15,27.6370967741936,13083.150391,0,"background","NL"
"258",4.401389,51.921111,12,27.4975806451613,13083.150391,0,"background","NL"
"259",4.401389,51.921111,13,26.3506122448979,13083.150391,0,"background","NL"
"260",4.401389,51.921111,14,26.0919028340081,13083.150391,0,"background","NL"
"261",4.401389,51.921111,23,35.1060728744939,13083.150391,0,"background","NL"
"262",4.401389,51.921111,16,28.7199203187251,13083.150391,0,"background","NL"
"263",4.401389,51.921111,17,30.6108,13083.150391,0,"background","NL"
"264",4.401389,51.921111,22,36.609756097561,13083.150391,0,"background","NL"
"265",4.431111,51.938056,4,36.0019230769231,7521.097168,0,"traffic","NL"
"266",4.431111,51.938056,5,45.7611538461539,7521.097168,0,"traffic","NL"
"267",4.431111,51.938056,6,52.7196153846154,7521.097168,0,"traffic","NL"
"268",4.431111,51.938056,15,39.5338461538462,7521.097168,0,"traffic","NL"
"269",4.431111,51.938056,16,41.1984615384615,7521.097168,0,"traffic","NL"
"270",4.431111,51.938056,17,41.0238461538462,7521.097168,0,"traffic","NL"
"271",4.431111,51.938056,18,40.2957692307692,7521.097168,0,"traffic","NL"
"272",4.431111,51.938056,19,39.7619230769231,7521.097168,0,"traffic","NL"
